subject_id,condition,region_name,mean_activation_na_m
sub-02,video1,Lingual-rh,1.3101053859119699e-09
sub-02,video1,Medial Orbitofrontal-lh,7.891562440151646e-10
sub-02,video1,Medial Orbitofrontal-rh,8.973923348345912e-10
sub-02,video1,Middle Temporal-lh,2.340347690821462e-09
sub-02,video1,Middle Temporal-rh,1.1496598126780195e-09
sub-02,video1,Parahippocampal-lh,1.0642643552506548e-09
sub-02,video1,Parahippocampal-rh,6.12515095501228e-10
sub-02,video1,Paracentral-lh,1.1001006706239389e-09
sub-02,video1,Paracentral-rh,1.2310847324931489e-09
sub-02,video1,Pars Opercularis-lh,1.6417083317698966e-09
sub-02,video1,Pars Opercularis-rh,1.1782745357117543e-09
sub-02,video1,Pars Orbitalis-lh,2.3942920963347907e-09
sub-02,video1,Pars Orbitalis-rh,1.1873365865091635e-09
sub-02,video1,Pars Triangularis-lh,3.0055918683849034e-09
sub-02,video1,Pars Triangularis-rh,1.6022505712972045e-09
sub-02,video1,Pericalcarine-lh,1.4493970559229206e-09
sub-02,video1,Pericalcarine-rh,1.703231520033656e-09
sub-02,video1,Postcentral-lh,2.0004931884728657e-09
sub-02,video1,Postcentral-rh,1.0650568433834795e-09
sub-02,video1,Posterior Cingulate-lh,7.577712812878458e-10
sub-02,video1,Posterior Cingulate-rh,7.001038054209129e-10
sub-02,video1,Precentral-lh,1.6150361364680908e-09
sub-02,video1,Precentral-rh,1.1798370986845184e-09
sub-02,video1,Precuneus-lh,1.3816938267100119e-09
sub-02,video1,Precuneus-rh,1.5409216771551885e-09
sub-02,video1,Rostral Anterior Cingulate-lh,8.954336052052106e-10
sub-02,video1,Rostral Anterior Cingulate-rh,8.070290898962821e-10
sub-02,video1,Rostral Middle Frontal-lh,3.4313871336859663e-09
sub-02,video1,Rostral Middle Frontal-rh,1.8276413034453565e-09
sub-02,video1,Superior Frontal-lh,2.985314354926895e-09
sub-02,video1,Superior Frontal-rh,1.9538285199767758e-09
sub-02,video1,Superior Parietal-lh,1.817762646345093e-09
sub-02,video1,Superior Parietal-rh,1.622642914888829e-09
sub-02,video1,Superior Temporal-lh,1.7597073755268796e-09
sub-02,video1,Superior Temporal-rh,8.803315702227519e-10
sub-02,video1,Supramarginal-lh,2.6504530702187846e-09
sub-02,video1,Supramarginal-rh,1.1936709989000191e-09
sub-02,video1,Transverse Temporal-lh,8.741406168021017e-10
sub-02,video1,Transverse Temporal-rh,5.283205879602925e-10
sub-02,video1,Insula-lh,6.914942151662527e-10
sub-02,video1,Insula-rh,4.938225272520615e-10
